score,votes,runtime,budget,gross,movie_status
8.4,927000.0,146.0,19000000.0,46998772.0,Hit
5.8,65000.0,104.0,4500000.0,58853106.0,Hit
8.7,1200000.0,124.0,18000000.0,538375067.0,Hit
7.7,221000.0,88.0,3500000.0,83453539.0,Hit
7.3,108000.0,98.0,6000000.0,39846344.0,Hit
6.4,123000.0,95.0,550000.0,39754601.0,Hit
7.9,188000.0,133.0,27000000.0,115229890.0,Hit
8.2,330000.0,129.0,18000000.0,23402427.0,Flop
6.8,101000.0,127.0,54000000.0,108185706.0,Hit
7.0,10000.0,100.0,10000000.0,15795189.0,Flop
6.1,18000.0,116.0,15000000.0,70687344.0,Hit
7.3,54000.0,109.0,5000000.0,30031783.0,Hit
5.3,30000.0,114.0,20000000.0,49823037.0,Hit
7.7,49000.0,124.0,6000000.0,54766923.0,Hit
7.1,37000.0,104.0,6500000.0,31899000.0,Hit
7.2,27000.0,103.0,5100000.0,9709597.0,Flop
6.6,21000.0,134.0,,21202829.0,Flop
6.9,29000.0,109.0,10000000.0,103300686.0,Hit
6.8,66000.0,89.0,1000000.0,21448782.0,Hit
6.8,26000.0,111.0,,101300000.0,Flop
6.5,20000.0,102.0,11000000.0,19814523.0,Flop
6.8,14000.0,219.0,44000000.0,3484523.0,Flop
6.7,22000.0,103.0,12000000.0,16647800.0,Flop
5.3,12000.0,96.0,20000000.0,22762571.0,Flop
6.4,14000.0,132.0,,46918287.0,Flop
6.9,33000.0,102.0,,19853892.0,Flop
6.5,5100.0,96.0,,34326249.0,Flop
5.0,4100.0,115.0,36000000.0,,Flop
7.2,17000.0,131.0,9000000.0,37121708.0,Hit
6.2,22000.0,117.0,4800000.0,22743674.0,Hit
7.1,8900.0,102.0,,22482952.0,Flop
5.4,16000.0,92.0,,14796236.0,Flop
5.3,15000.0,100.0,,66132626.0,Flop
6.1,604.0,97.0,5100000.0,534816.0,Flop
6.7,9100.0,102.0,,43995918.0,Flop
6.2,24000.0,109.0,10000000.0,69847348.0,Hit
6.3,4300.0,91.0,4000000.0,10000000.0,Hit
6.0,11000.0,101.0,3000000.0,6342668.0,Hit
5.9,4000.0,115.0,,27118000.0,Flop
7.5,17000.0,124.0,,67182787.0,Flop
6.3,5700.0,84.0,,5000000.0,Flop
7.9,13000.0,107.0,,,Flop
7.1,9000.0,131.0,3500000.0,7063886.0,Hit
6.6,11000.0,99.0,,6659377.0,Flop
4.8,2000.0,101.0,,8415112.0,Flop
6.1,12000.0,99.0,,41675194.0,Flop
5.3,3900.0,109.0,22000000.0,15716828.0,Flop
4.6,3900.0,82.0,300000.0,,Flop
5.1,3100.0,94.0,15000000.0,14662035.0,Flop
8.3,15000.0,173.0,35000000.0,,Flop
7.3,22000.0,89.0,10000000.0,10389003.0,Flop
6.8,4500.0,95.0,7000000.0,4309490.0,Flop
4.2,3700.0,124.0,20000000.0,,Flop
6.1,11000.0,116.0,6500000.0,24265659.0,Hit
7.0,6700.0,139.0,,12516.0,Flop
6.7,2900.0,91.0,,,Flop
4.6,2600.0,121.0,20000000.0,3763988.0,Flop
5.4,2400.0,103.0,6000000.0,6216067.0,Flop
5.1,5200.0,103.0,4000000.0,18971000.0,Hit
5.3,2400.0,97.0,11000000.0,,Flop
5.0,5300.0,100.0,,18000000.0,Flop
6.7,1900.0,123.0,,14287755.0,Flop
5.5,875.0,91.0,,,Flop
6.3,1400.0,119.0,,17815212.0,Flop
7.3,2800.0,103.0,,3910019.0,Flop
6.3,2000.0,93.0,,7653061.0,Flop
8.1,12000.0,150.0,900000.0,,Flop
5.1,2000.0,100.0,,10697276.0,Flop
6.6,915.0,86.0,,9870727.0,Flop
6.0,1500.0,98.0,,15934737.0,Flop
4.7,1800.0,103.0,,14155617.0,Flop
